tweet,followers_count,retweet_count
https://twitter.com/SharmaKhemchand/status/796264531223777280,6998,7
https://twitter.com/sunandavashisht/status/796264110971322368,65850,39
https://twitter.com/JimmyWayne/status/796264049981947904,83420,59
https://twitter.com/MaheishGirri/status/796263815486672896,52038,12
https://twitter.com/NRA/status/796263683064217600,408083,2657
https://twitter.com/vivekdahiya08/status/796263645575450624,16467,16
https://twitter.com/Trendulkar/status/796263630996008960,120376,75
https://twitter.com/AustinDJordan/status/796263615535992832,161135,3
https://twitter.com/TukundaneYonna/status/796261852959428608,1192,0
https://twitter.com/AmbJohnBolton/status/796261790887931906,206622,381
https://twitter.com/CurtisSChin/status/796261707802877952,4991,0
https://twitter.com/sadhavi/status/796261603477860352,28945,3
https://twitter.com/mikenesbittni/status/796261267870797824,16658,17
https://twitter.com/TerryStone/status/796261219913105408,8707,11
https://twitter.com/Reince/status/796261129047646209,512948,2135
https://twitter.com/maumoonagayoom/status/796260813170315265,59591,84
https://twitter.com/IAMBLEONA/status/796260585516081152,138218,3
https://twitter.com/ClaysonMonyela/status/796260398831910912,131064,5
https://twitter.com/mr_gadget/status/796260346696634368,111508,1
https://twitter.com/tomemmer/status/796260111480188928,5094,8
https://twitter.com/davidkurten/status/796260008719773696,2523,17
https://twitter.com/UebertAngel/status/796259843753578496,56322,175
https://twitter.com/KatDeLuna/status/796259741873815552,210361,19
https://twitter.com/CameronAtfield/status/796259734072373248,4907,1
https://twitter.com/DarrenMillarAM/status/796259680200826880,6005,12
https://twitter.com/GOP/status/796259600379088896,962055,946
https://twitter.com/kazu_fujisawa/status/796259551267864576,114816,26
https://twitter.com/sseagalofficial/status/796259507588300800,94341,958
https://twitter.com/Hoodyakov/status/796259426927779840,19397,1
https://twitter.com/TexasGOP/status/796259308115791872,23227,37
https://twitter.com/arunpudur/status/796259298447867904,147091,23
https://twitter.com/lorenridinger/status/796259287257362432,453615,2
https://twitter.com/BJP4Andhra/status/796259213328543745,1428,2
https://twitter.com/officeofssbadal/status/796259173432369152,137926,300
https://twitter.com/HuddlestonNigel/status/796259110903803904,3766,0
https://twitter.com/SkyNewsAust/status/796258798721605633,340964,2
https://twitter.com/NidalAlAhmadieh/status/796258740106391552,248454,0
https://twitter.com/therealroseanne/status/796258629645021185,308934,565
https://twitter.com/MIGOP/status/796258569331023876,21543,130
https://twitter.com/tommechler/status/796258563048017921,2497,3
https://twitter.com/milinddeora/status/796258423163719681,637473,23
https://twitter.com/RealBenCarson/status/796258404046094336,2319748,28547
https://twitter.com/BillCassidy/status/796258394055307267,15428,13
https://twitter.com/PulseGhana/status/796258116069392384,26161,4
https://twitter.com/matthewjdowd/status/796258035953991680,34033,54
https://twitter.com/DavidHudgins3/status/796257947533705216,1712,0
https://twitter.com/KevinCate/status/796257859013111808,5108,15
https://twitter.com/NewYorkGOP/status/796257840948281344,9704,15
https://twitter.com/haridassharanya/status/796257714221576193,17762,0
https://twitter.com/drharshvardhan/status/796257703752384513,1306792,77
https://twitter.com/VijayGoelBJP/status/796257700728344577,227938,7
https://twitter.com/ppchaudharyMoS/status/796257699235295232,3354,6
https://twitter.com/DanPatrick/status/796257512458752001,28326,88
https://twitter.com/Nigel_Farage/status/796257437175025664,514110,8955
https://twitter.com/justinamash/status/796257320611282948,71919,345
https://twitter.com/BradleyGaskin/status/796257305969000450,3890,3
https://twitter.com/nine_oh/status/796257271307259904,1038850,1
https://twitter.com/haighdavid/status/796257111948873728,114633,0
https://twitter.com/JJansaSDS/status/796257105032466436,43319,61
https://twitter.com/CKGolferChic/status/796257073327640577,34352,7
https://twitter.com/subhash580/status/796257070617985024,9701,2
https://twitter.com/marc_lotter/status/796257060069535746,6052,671
https://twitter.com/kirstiealley/status/796256825318309888,1279620,2738
https://twitter.com/ToddHagopian/status/796256798869164035,13774,7
https://twitter.com/RossDyerTV/status/796256722688114688,3400,3
https://twitter.com/piersmorgan/status/796256713183784963,5242794,2354
https://twitter.com/Omojuwa/status/796256681604878336,405711,77
https://twitter.com/Kristian_Jensen/status/796256675644796928,29456,50
https://twitter.com/DeanHeller/status/796256612705075200,13555,8
https://twitter.com/Joshosich/status/796256574658351104,4966,19
https://twitter.com/GOP/status/796256394173382657,962109,6937
https://twitter.com/IAMAASHKA/status/796256391128236032,42124,5
https://twitter.com/MarkRHall/status/796256318541729792,5761,0
https://twitter.com/antoniosabatojr/status/796256314225627136,804397,248
https://twitter.com/VA_GOP/status/796256259536261120,9569,17
https://twitter.com/smkoneru/status/796256247813021697,48538,12
https://twitter.com/sunandavashisht/status/796256201109622784,65850,5
https://twitter.com/SteveGuest/status/796256093726969856,1929,2
https://twitter.com/titoortiz/status/796256075871764480,564554,42
https://twitter.com/BillyCorben/status/796256063754530816,47202,34
https://twitter.com/keshavupadhye/status/796255951191883776,2498,0
https://twitter.com/Andy_Watt/status/796255861442285569,2454,2
https://twitter.com/geertwilderspvv/status/796255733172072448,722657,1158
https://twitter.com/hrnext/status/796255335149252608,9007,0
https://twitter.com/isidorabjelica/status/796255096418013184,231273,6
https://twitter.com/LogCabinGOP/status/796255055183806465,10420,26
https://twitter.com/GauravPandhi/status/796254964158865410,29756,16
https://twitter.com/estherclimate/status/796254948379992064,18113,0
